rank,movie,release_date,distribution,genre,gross,tickets_sold
319,Letters from Baghdad,6/2/2017,Vitagraph Films,Documentary,336223,37483
320,Island of Lemurs: Madagascar,4/4/2014,Warner Bros.,Documentary,334245,37263
321,Chuck,5/5/2017,IFC Films,Action,322005,35897
322,Citizen Jane: Battle for th…,4/21/2017,IFC Films,Documentary,313411,34939
323,Obit,4/26/2017,Kino Lorber,Documentary,312777,34869
324,City of Rock,10/6/2017,Well Go USA,Musical,312537,34842
325,My Life as a Zucchini,2/24/2017,GKIDS,Adventure,309768,34533
326,Tom of Finland,10/13/2017,Kino Lorber,Drama,308887,34435
327,God’s Own Country,10/25/2017,Samuel Goldwyn Films,Drama,305219,34026
328,Ittefaq,11/3/2017,Red Chillies Ente…,Thriller/Suspense,298032,33225
329,Miss Peregrine’s Home for P…,9/30/2016,20th Century Fox,Adventure,297697,33188
330,Buddies in India,1/27/2017,China Lion Film D…,Action,292662,32626
331,I Do…Until I Don’t,9/1/2017,Film Arcade,Comedy,276608,30837
332,After the Storm,3/17/2017,Film Movement,Drama,272132,30338
333,Stalker,5/5/2017,Janus Films,Drama,268101,29888
334,Storks,9/23/2016,Warner Bros.,Adventure,264428,29479
335,Wakefield,5/19/2017,IFC Films,Drama,262599,29275
336,"I, Daniel Blake",6/2/2017,IFC Films,Drama,260354,29024
337,Cézanne and I,3/31/2017,Magnolia Pictures,Drama,257597,28717
338,Dean,6/2/2017,CBS Films,Comedy,254536,28376
339,Gook,8/18/2017,Samuel Goldwyn Films,Drama,250130,27885
340,Band Aid,6/2/2017,IFC Films,Comedy,248370,27688
341,1945,11/1/2017,Menemsha Entertai…,Drama,243701,27168
342,The Swindlers,12/1/2017,Well Go USA,Thriller/Suspense,241916,26969
343,The Ottoman Lieutenant,3/10/2017,Paladin,Drama,240978,26864
344,Crown Heights,8/18/2017,IFC Films,Drama,238553,26594
345,Jeremiah Tower: The Last Ma…,4/21/2017,The Orchard,Documentary,228153,25435
346,Loving,11/4/2016,Focus Features,Drama,227626,25376
347,American Satan,10/13/2017,AMC Independent,Thriller/Suspense,226232,25220
348,Rumble: The Indians who Roc…,7/26/2017,Kino Lorber,Documentary,225177,25103
349,The Breadwinner,11/17/2017,GKIDS,Drama,220307,24560
350,Railroad Tigers,1/6/2017,Well Go USA,Action,218044,24308
351,All I See is You,10/27/2017,Open Road,Thriller/Suspense,217644,24263
352,The Adventurers,8/18/2017,Well Go USA,Thriller/Suspense,216556,24142
353,Truman,4/7/2017,FilmRise,Comedy,210840,23505
354,Donnie Darko,6/4/2004,Newmarket Films,Drama,209484,23353
355,The Prison,3/31/2017,Well Go USA,Action,207481,23130
356,California Typewriter,8/18/2017,Gravitas Ventures,Documentary,200379,22338
357,Risk,5/5/2017,Neon,Documentary,200219,22320
358,Spark: A Space Tail,4/14/2017,Open Road,Adventure,196458,21901
359,One Piece Film: Gold,1/10/2017,FUNimation,Action,190859,21277
360,Whose Streets?,8/11/2017,Magnolia Pictures,Documentary,182799,20378
361,Ex Files 3: Return of the Exes,12/29/2017,China Lion Film D…,Comedy,180920,20169
362,The Bad Batch,6/23/2017,Neon,Horror,180851,20161
363,Marjorie Prime,8/18/2017,FilmRise,Multiple Genres,180608,20134
364,Hubble 3D,3/19/2010,Warner Bros.,Documentary,180201,20089
365,Past Life,6/2/2017,Samuel Goldwyn Films,Thriller/Suspense,180099,20077
366,Take Every Wave: The Life o…,9/29/2017,IFC Films,Documentary,176160,19638
367,Graduation,4/7/2017,IFC Films,Drama,175975,19618
368,Champion,5/19/2017,ArtAffects,Drama,175232,19535
369,Mr. Gaga,2/1/2017,Abramorama Films,Documentary,173994,19397
370,43719,9/8/2017,Atlas Distribution,Drama,172000,19175
371,David Lynch: The Art Life,3/31/2017,Janus Films,Documentary,171419,19110
372,Valley of Bones,9/1/2017,Smith Global Media,Western,166552,18567
373,Polina,8/25/2017,Oscilloscope Pict…,Drama,165203,18417
