rank,movie,release_date,distributor,genre,2016 Gross,Tickets Sold
526,The Greasy Strangler,10/7/2016,FilmRise,Thriller/Suspense,44228,5113
527,Danny Says,9/30/2016,Magnolia Pictures,Documentary,44213,5111
528,The Land,7/29/2016,IFC Films,Drama,43756,5058
529,Mastizaade,1/29/2016,Eros Entertainment,Comedy,43403,5017
530,The Battle of Algiers,1/9/2004,Rialto Pictures,Drama,43204,4994
531,Disorder,8/12/2016,IFC Films,Thriller/Suspense,42956,4966
532,Closet Monster,9/23/2016,Strand,Drama,42166,4874
533,A Melody to Remember,1/29/2016,CJ Entertainment,Drama,41845,4837
534,Wild Oats,9/16/2016,Weinstein Co.,Comedy,40598,4693
535,Is That a Gun in Your Pocket?,9/16/2016,Area 23a,Comedy,39928,4615
536,The Night,9/14/2016,Rialto Pictures,Drama,39236,4535
537,Catching the Sun,4/1/2016,The Film Collabor…,Documentary,38613,4463
538,Spa Night,8/19/2016,Strand,Drama,38578,4459
539,Germans and Jews,6/10/2016,First Run Features,Documentary,38100,4404
540,Come What May,9/9/2016,Cohen Media Group,Drama,37858,4376
541,Restored Me,6/6/2016,Gathr Films,Drama,36633,4235
542,How to Let Go of the World …,4/20/2016,International WOW,Documentary,36386,4206
543,Summertime,7/22/2016,Strand,Drama,35322,4083
544,Songs My Brothers Taught Me,3/2/2016,Kino Lorber,Drama,34793,4022
545,Mr. Right,4/8/2016,Focus World,Romantic Comedy,34694,4010
546,The Homeless Billionaire,6/17/2016,Hannover House,Romantic Comedy,34563,3995
547,Phantom Boy,7/15/2016,GKIDS,Adventure,34361,3972
548,Eisenstein In Guanajuato,2/5/2016,Strand,Drama,34282,3963
549,Off the Rails,11/4/2016,The Film Collabor…,Documentary,34249,3959
550,Last Cab to Darwin,6/10/2016,First Run Features,Drama,34193,3952
551,Suffragette,10/23/2015,Focus Features,Drama,33817,3909
552,Equals,7/15/2016,A24,Drama,33258,3844
553,Multiple Maniacs,8/5/2016,Janus Films,Comedy,33036,3819
554,The Intervention,8/26/2016,Samuel Goldwyn Films,Drama,32919,3805
555,The Map Against the World,9/9/2016,CJ Entertainment,Drama,32893,3802
556,Monster Hunt,1/22/2016,FilmRise,Adventure,32766,3787
557,Rio I Love You,4/15/2016,Screen Media Films,Romantic Comedy,31982,3697
558,Sweet Sixteen,8/17/2016,China Lion Film D…,Drama,31538,3646
559,As I Open My Eyes,9/9/2016,Kino Lorber,Drama,30989,3582
560,Pan,10/9/2015,Warner Bros.,Adventure,30863,3568
561,River of Fundament,12/4/2015,International Fil…,Drama,30859,3567
562,Labyrinth of Lies,9/30/2015,Sony Pictures Cla…,Drama,30716,3550
563,Jafar Panahi’s Taxi,10/2/2015,Kino Lorber,Documentary,30554,3532
564,Being Charlie,5/6/2016,Paladin,Drama,30400,3514
565,Men & Chicken,4/22/2016,Drafthouse Films,Black Comedy,30207,3492
566,From Afar,6/8/2016,Strand,Drama,30169,3487
567,For a Few Bullets,7/22/2016,China Lion Film D…,Western,30142,3484
568,Therapy For A Vampire,6/10/2016,Music Box Films,Comedy,30115,3481
569,"Kill Me, Deadly",4/1/2016,Indican Pictures,Multiple Genres,30091,3478
570,The Best Democracy Money Ca…,9/23/2016,Cinema Libre,Documentary,29500,3410
571,Troublemakers: The Story of…,1/8/2016,First Run Features,Documentary,29462,3406
572,The Seventh Fire,7/22/2016,Film Movement,Documentary,29361,3394
573,The Unknowns,5/23/2016,Gathr Films,Documentary,29284,3385
574,3 Weeks in Yerevan,9/16/2016,Richmond Media En…,Comedy,29245,3380
575,Time to Choose,6/3/2016,Abramorama Films,Documentary,29233,3379
576,Under the Shadow,10/7/2016,Vertical Entertai…,Horror,28884,3339
577,Valley of Love,3/25/2016,Strand,Drama,28648,3311
578,"Look At Us Now, Mother!",4/11/2015,,,28463,3290
579,"Rabin, The Last Day",1/29/2016,Kino Lorber,Drama,28411,3284
580,Paths of the Soul,5/13/2016,Icarus Films,Documentary,28184,3258
581,Bikes vs Cars,12/4/2015,Kino Lorber,Documentary,28072,3245
582,Take Me to the River,3/18/2016,Film Movement,Drama,28041,3241
583,"Rabin, in His Own Words",5/6/2016,Menemsha Entertai…,Documentary,27941,3230
584,Kaili Blues,5/20/2016,Grasshopper Film,Drama,27477,3176
585,Unlocking the Cage,5/25/2016,First Run Features,Documentary,27284,3154
586,The Eyes of My Mother,12/2/2016,Magnolia Pictures,Horror,27099,3132
587,Blackway,6/10/2016,Electric Entertai…,Thriller/Suspense,27079,3130
588,Anesthesia,1/8/2016,IFC Films,Drama,26799,3098
589,Neon Bull,4/8/2016,Kino Lorber,Drama,26755,3093
590,Front Cover,8/5/2016,Strand,Drama,26409,3053
591,Standing Tall,3/11/2016,Cohen Media Group,Drama,26144,3022
592,Cosmos,6/17/2016,Kino Lorber,Drama,25856,2989
593,The Dog Wedding,3/11/2016,25th Frame,Romantic Comedy,25855,2989
594,The Last Princess,9/9/2016,CJ Entertainment,Drama,25753,2977
595,Chevalier,5/27/2016,Strand,Comedy,25696,2970
596,Kate Plays Christine,8/26/2016,Grasshopper Film,Documentary,25564,2955
597,The New Year's Eve of Old Lee,2/12/2016,China Lion Film D…,Comedy,25358,2931
598,Disturbing the Peace (Re-is…,11/11/2016,Abramorama Films,Documentary,25287,2923
599,Sold,4/1/2016,Matson,Drama,25223,2915
600,Banjo,9/23/2016,Eros Entertainment,Action,25140,2906
601,A Monster with a Thousand H…,5/13/2016,Music Box Films,Thriller/Suspense,24852,2873
602,Truth,10/16/2015,Sony Pictures Cla…,Thriller/Suspense,24609,2844
603,Sudden Fear,8/12/2016,Cohen Media Group,Thriller/Suspense,24476,2829
604,"Right Now, Wrong Then",6/24/2016,Grasshopper Film,Romantic Comedy,24470,2828
605,Lolo,3/11/2016,FilmRise,Romantic Comedy,24134,2790
606,No Home Movie,4/1/2016,Icarus Films,Documentary,24132,2789
607,Evolution,11/25/2016,IFC Midnight,Horror,23538,2721
608,Project Itoh - Harmony,5/20/2016,FUNimation,Action,23248,2687
609,Gridiron Heroes,4/15/2016,Indican Pictures,Documentary,23237,2686
610,Angry Indian Goddess,8/5/2016,Mongrel Media,Comedy,23192,2681
611,Kamikaze 89,6/3/2016,Film Movement,Thriller/Suspense,22440,2594
612,Generation Startup,9/23/2016,Long Shot Factory,Documentary,22271,2574
613,Sanam Teri Kasam,2/5/2016,Eros Entertainment,Drama,22121,2557
614,The Black Dove,8/12/2016,Indican Pictures,Comedy,21900,2531
615,Beauty and the Beast,12/23/1947,Lopert Pictures C…,Musical,21711,2509
616,The Winding Steam,12/16/2015,Argot Pictures,Documentary,21683,2506
617,Blue Jay,10/7/2016,The Orchard,Drama,21626,2500
618,Thank You For Your Service,10/7/2016,Gathr Films,Documentary,21497,2485
619,Term Life,4/29/2016,Focus World,Drama,21256,2457
620,Almost Holy,5/20/2016,The Orchard,Documentary,21142,2444
621,Legend,11/20/2015,Universal,Thriller/Suspense,20870,2412
622,Band of Robbers,1/15/2016,Gravitas Ventures,Adventure,20555,2376
623,Sea of Trees,8/26/2016,A24,Drama,20444,2363
624,Love Me True,8/12/2016,Indican Pictures,Romantic Comedy,20100,2323
625,"No Pay, Nudity",11/11/2016,Monterey Media,Drama,20017,2314
626,This Last Lonely Place,8/12/2016,Indican Pictures,Thriller/Suspense,19993,2311
627,Art Bastard,6/3/2016,CAVU Releasing,Documentary,19600,2265
628,Unless,10/14/2016,Mongrel Media,Drama,19120,2210
629,Revelation: Dawn of Global …,4/15/2016,Rocky Mountain Pi…,Documentary,19107,2208
630,Ktown Cowboys,3/18/2016,Freestyle Releasing,Documentary,18863,2180
631,Search Engines,10/14/2016,Indican Pictures,Comedy,18851,2179
632,Never,8/19/2016,Indican Pictures,Drama,18810,2174
633,Seoul Searching,6/17/2016,Mondo Paradiso Films,Comedy,18654,2156
634,In Jackson Heights,11/4/2015,Zipporah,Documentary,18619,2152
635,The Channel,4/8/2016,Indican Pictures,Horror,18319,2117
636,Peter and the Farm,11/4/2016,Magnolia Pictures,Documentary,18123,2095
637,A Bit of Bad Luck,5/13/2016,Indican Pictures,Comedy,18089,2091
638,Wildflower,10/20/2016,CanZion Films,Drama,18062,2088
639,Holy Hell,5/27/2016,WRA Productions LLC,Documentary,18051,2086
640,The Romans,5/27/2016,Indican Pictures,Drama,18016,2082
641,I Knew Her Well,2/5/2016,Janus Films,Documentary,18010,2082
642,Men go to Battle,7/8/2016,Film Movement,Drama,18006,2081
643,How He Fell in Love,7/8/2016,Monument Releasing,Drama,17575,2031
644,Streit's: Matzo and the Ame…,4/20/2016,Menemsha Entertai…,Documentary,17506,2023
645,New World Order,9/23/2016,Indican Pictures,Action,17345,2005
646,Landfill Harmonic,9/9/2016,The Film Collabor…,Documentary,17205,1989
647,Sembene!,11/13/2015,Kino Lorber,Documentary,17114,1978
648,The Lion in Winter,10/30/1968,,Drama,17024,1968
649,The Seasons in Quincy: Four…,8/31/2016,Icarus Films,Documentary,16738,1935
650,Tharlo,9/28/2016,Icarus Films,Drama,16522,1910
651,Always Shine,11/25/2016,Oscilloscope Pict…,Thriller/Suspense,16140,1865
652,Colonia,4/15/2016,Screen Media Films,Thriller/Suspense,15709,1816
653,The Other Half,12/2/2016,Mongrel Media,Drama,15643,1808
654,Entertainment,11/13/2015,Magnolia Pictures,Drama,15642,1808
655,Five Nights in Maine,8/5/2016,FilmRise,Drama,15587,1801
656,Starcrossed,5/13/2016,Indican Pictures,Drama,15263,1764
657,Of Mind and Music,2/12/2016,Monterey Media,Drama,15083,1743
658,Already Tomorrow in Hong Kong,2/12/2016,Gravitas Ventures,Romantic Comedy,14966,1730
659,The Letters,12/4/2015,Freestyle Releasing,Drama,14952,1728
660,Argentina,6/17/2016,First Run Features,Documentary,14869,1718
661,Lamb,1/8/2016,The Orchard,Drama,14547,1681
662,The Uncondemned,10/21/2016,Abramorama Films,Documentary,14393,1663
663,The Fiancé,11/11/2016,Indican Pictures,Horror,14120,1632
664,Newtown,10/7/2016,Abramorama Films,Documentary,14109,1631
665,A Space Program,3/18/2016,Zeitgeist,Documentary,13739,1588
666,Woodlawn,10/16/2015,Pure Flix Enterta…,Drama,13498,1560
667,Tikkun,6/10/2016,Kino Lorber,Drama,13358,1544
668,Late Spring,3/4/2016,Janus Films,Drama,13254,1532
669,The Adderall Diaries,4/15/2016,A24,Drama,13191,1524
670,Censored Voices,11/20/2015,Music Box Films,Documentary,13029,1506
671,Neither Heaven Nor Earth,8/5/2016,Film Movement,Multiple Genres,12810,1480
672,The Monster,11/11/2016,A24,Horror,12544,1450
673,City of Women,2/19/2016,Cohen Media Group,Comedy,12516,1446
674,The Ones Below,5/27/2016,Magnolia Pictures,Thriller/Suspense,12488,1443
